authors;title;publication_year;approach;approach_detail;downscaling _scale;location_name;control_variable;variable_description;variable_extra_description;response variable;response ecosystem;global_limit_ considered;year;boundary_percapita;territorial_boundary;footprint_percapita;territorial_footprint;overshoot;calculation_resolution;data_reference;social-policy involved;Observations
Schulte-Uebbing, L. F., Beusen, A. H., Bouwman, A. F., & De Vries, W.;From planetary to regional boundaries for agricultural nitrogen pollution;2022;bottom-up;spatially explicit model;country;eastern africa;agricultural N surplus;deposition of agricultural N in surface water and groundwater, threaten biodiversity and other impacts;"sum of critical manure and fertilizer inputs, critical N deposition 
and (constant) N fixation. (119 MtN yr−1 to 92 MtN yr−1 for water, 101 MtN yr−1 for biodiversity)";;; 57 MtN yr−1;;; 27 kgN/ha*yr;; 27 kgN/ha*yr;;;https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-022-05158-2/MediaObjects/41586_2022_5158_MOESM1_ESM.pdf;account for the spatial variability. use a spatially explicit model to establish regional boundaries for agricultural nitrogen surplus from thresholds for eutrophication of terrestrial and aquatic ecosystems and nitrate in groundwater;N surplus will depend on precipitation surplus, share on agricultural land, and legacy N load, critical N surpluses
Schulte-Uebbing, L. F., Beusen, A. H., Bouwman, A. F., & De Vries, W.;From planetary to regional boundaries for agricultural nitrogen pollution;2022;bottom-up;spatially explicit model;country;south africa;agricultural N surplus;deposition of agricultural N in surface water and groundwater, threaten biodiversity and other impacts;"sum of critical manure and fertilizer inputs, critical N deposition 
and (constant) N fixation. (119 MtN yr−1 to 92 MtN yr−1 for water, 101 MtN yr−1 for biodiversity)";;; 57 MtN yr−1;;;34 kgN/ha*yr;;34 kgN/ha*yr;;;https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-022-05158-2/MediaObjects/41586_2022_5158_MOESM1_ESM.pdf;account for the spatial variability. use a spatially explicit model to establish regional boundaries for agricultural nitrogen surplus from thresholds for eutrophication of terrestrial and aquatic ecosystems and nitrate in groundwater;N surplus will depend on precipitation surplus, share on agricultural land, and legacy N load, critical N surpluses
Schulte-Uebbing, L. F., Beusen, A. H., Bouwman, A. F., & De Vries, W.;From planetary to regional boundaries for agricultural nitrogen pollution;2022;bottom-up;spatially explicit model;country;western europe;agricultural N surplus;deposition of agricultural N in surface water and groundwater, threaten biodiversity and other impacts;"sum of critical manure and fertilizer inputs, critical N deposition 
and (constant) N fixation. (119 MtN yr−1 to 92 MtN yr−1 for water, 101 MtN yr−1 for biodiversity)";;; 57 MtN yr−1;;;50 kgN/ha*yr;;50 kgN/ha*yr;;;https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-022-05158-2/MediaObjects/41586_2022_5158_MOESM1_ESM.pdf;account for the spatial variability. use a spatially explicit model to establish regional boundaries for agricultural nitrogen surplus from thresholds for eutrophication of terrestrial and aquatic ecosystems and nitrate in groundwater;N surplus will depend on precipitation surplus, share on agricultural land, and legacy N load, critical N surpluses
Schulte-Uebbing, L. F., Beusen, A. H., Bouwman, A. F., & De Vries, W.;From planetary to regional boundaries for agricultural nitrogen pollution;2022;bottom-up;spatially explicit model;country;central europe;agricultural N surplus;deposition of agricultural N in surface water and groundwater, threaten biodiversity and other impacts;"sum of critical manure and fertilizer inputs, critical N deposition 
and (constant) N fixation. (119 MtN yr−1 to 92 MtN yr−1 for water, 101 MtN yr−1 for biodiversity)";;; 57 MtN yr−1;;;48 kgN/ha*yr;;48 kgN/ha*yr;;;https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-022-05158-2/MediaObjects/41586_2022_5158_MOESM1_ESM.pdf;account for the spatial variability. use a spatially explicit model to establish regional boundaries for agricultural nitrogen surplus from thresholds for eutrophication of terrestrial and aquatic ecosystems and nitrate in groundwater;N surplus will depend on precipitation surplus, share on agricultural land, and legacy N load, critical N surpluses
Schulte-Uebbing, L. F., Beusen, A. H., Bouwman, A. F., & De Vries, W.;From planetary to regional boundaries for agricultural nitrogen pollution;2022;bottom-up;spatially explicit model;country;turkey;agricultural N surplus;deposition of agricultural N in surface water and groundwater, threaten biodiversity and other impacts;"sum of critical manure and fertilizer inputs, critical N deposition 
and (constant) N fixation. (119 MtN yr−1 to 92 MtN yr−1 for water, 101 MtN yr−1 for biodiversity)";;; 57 MtN yr−1;;;42 kgN/ha*yr;;42 kgN/ha*yr;;;https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-022-05158-2/MediaObjects/41586_2022_5158_MOESM1_ESM.pdf;account for the spatial variability. use a spatially explicit model to establish regional boundaries for agricultural nitrogen surplus from thresholds for eutrophication of terrestrial and aquatic ecosystems and nitrate in groundwater;N surplus will depend on precipitation surplus, share on agricultural land, and legacy N load, critical N surpluses
Schulte-Uebbing, L. F., Beusen, A. H., Bouwman, A. F., & De Vries, W.;From planetary to regional boundaries for agricultural nitrogen pollution;2022;bottom-up;spatially explicit model;country;ukraine region;agricultural N surplus;deposition of agricultural N in surface water and groundwater, threaten biodiversity and other impacts;"sum of critical manure and fertilizer inputs, critical N deposition 
and (constant) N fixation. (119 MtN yr−1 to 92 MtN yr−1 for water, 101 MtN yr−1 for biodiversity)";;; 57 MtN yr−1;;;27 kgN/ha*yr;;27 kgN/ha*yr;;;https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-022-05158-2/MediaObjects/41586_2022_5158_MOESM1_ESM.pdf;account for the spatial variability. use a spatially explicit model to establish regional boundaries for agricultural nitrogen surplus from thresholds for eutrophication of terrestrial and aquatic ecosystems and nitrate in groundwater;N surplus will depend on precipitation surplus, share on agricultural land, and legacy N load, critical N surpluses
Schulte-Uebbing, L. F., Beusen, A. H., Bouwman, A. F., & De Vries, W.;From planetary to regional boundaries for agricultural nitrogen pollution;2022;bottom-up;spatially explicit model;country;central asia;agricultural N surplus;deposition of agricultural N in surface water and groundwater, threaten biodiversity and other impacts;"sum of critical manure and fertilizer inputs, critical N deposition 
and (constant) N fixation. (119 MtN yr−1 to 92 MtN yr−1 for water, 101 MtN yr−1 for biodiversity)";;; 57 MtN yr−1;;;32 kgN/ha*yr;;32 kgN/ha*yr;;;https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-022-05158-2/MediaObjects/41586_2022_5158_MOESM1_ESM.pdf;account for the spatial variability. use a spatially explicit model to establish regional boundaries for agricultural nitrogen surplus from thresholds for eutrophication of terrestrial and aquatic ecosystems and nitrate in groundwater;N surplus will depend on precipitation surplus, share on agricultural land, and legacy N load, critical N surpluses
Schulte-Uebbing, L. F., Beusen, A. H., Bouwman, A. F., & De Vries, W.;From planetary to regional boundaries for agricultural nitrogen pollution;2022;bottom-up;spatially explicit model;country;russia region;agricultural N surplus;deposition of agricultural N in surface water and groundwater, threaten biodiversity and other impacts;"sum of critical manure and fertilizer inputs, critical N deposition 
and (constant) N fixation. (119 MtN yr−1 to 92 MtN yr−1 for water, 101 MtN yr−1 for biodiversity)";;; 57 MtN yr−1;;;14 kgN/ha*yr;;14 kgN/ha*yr;;;https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-022-05158-2/MediaObjects/41586_2022_5158_MOESM1_ESM.pdf;account for the spatial variability. use a spatially explicit model to establish regional boundaries for agricultural nitrogen surplus from thresholds for eutrophication of terrestrial and aquatic ecosystems and nitrate in groundwater;N surplus will depend on precipitation surplus, share on agricultural land, and legacy N load, critical N surpluses
Schulte-Uebbing, L. F., Beusen, A. H., Bouwman, A. F., & De Vries, W.;From planetary to regional boundaries for agricultural nitrogen pollution;2022;bottom-up;spatially explicit model;country;middle east;agricultural N surplus;deposition of agricultural N in surface water and groundwater, threaten biodiversity and other impacts;"sum of critical manure and fertilizer inputs, critical N deposition 
and (constant) N fixation. (119 MtN yr−1 to 92 MtN yr−1 for water, 101 MtN yr−1 for biodiversity)";;; 57 MtN yr−1;;;47 kgN/ha*yr;;47 kgN/ha*yr;;;https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-022-05158-2/MediaObjects/41586_2022_5158_MOESM1_ESM.pdf;account for the spatial variability. use a spatially explicit model to establish regional boundaries for agricultural nitrogen surplus from thresholds for eutrophication of terrestrial and aquatic ecosystems and nitrate in groundwater;N surplus will depend on precipitation surplus, share on agricultural land, and legacy N load, critical N surpluses
Schulte-Uebbing, L. F., Beusen, A. H., Bouwman, A. F., & De Vries, W.;From planetary to regional boundaries for agricultural nitrogen pollution;2022;bottom-up;spatially explicit model;country;india;agricultural N surplus;deposition of agricultural N in surface water and groundwater, threaten biodiversity and other impacts;"sum of critical manure and fertilizer inputs, critical N deposition 
and (constant) N fixation. (119 MtN yr−1 to 92 MtN yr−1 for water, 101 MtN yr−1 for biodiversity)";;; 57 MtN yr−1;;;114 kgN/ha*yr;;114 kgN/ha*yr;;;https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-022-05158-2/MediaObjects/41586_2022_5158_MOESM1_ESM.pdf;account for the spatial variability. use a spatially explicit model to establish regional boundaries for agricultural nitrogen surplus from thresholds for eutrophication of terrestrial and aquatic ecosystems and nitrate in groundwater;N surplus will depend on precipitation surplus, share on agricultural land, and legacy N load, critical N surpluses
Schulte-Uebbing, L. F., Beusen, A. H., Bouwman, A. F., & De Vries, W.;From planetary to regional boundaries for agricultural nitrogen pollution;2022;bottom-up;spatially explicit model;country;korea region;agricultural N surplus;deposition of agricultural N in surface water and groundwater, threaten biodiversity and other impacts;"sum of critical manure and fertilizer inputs, critical N deposition 
and (constant) N fixation. (119 MtN yr−1 to 92 MtN yr−1 for water, 101 MtN yr−1 for biodiversity)";;; 57 MtN yr−1;;;84 kgN/ha*yr;;84 kgN/ha*yr;;;https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-022-05158-2/MediaObjects/41586_2022_5158_MOESM1_ESM.pdf;account for the spatial variability. use a spatially explicit model to establish regional boundaries for agricultural nitrogen surplus from thresholds for eutrophication of terrestrial and aquatic ecosystems and nitrate in groundwater;N surplus will depend on precipitation surplus, share on agricultural land, and legacy N load, critical N surpluses
Schulte-Uebbing, L. F., Beusen, A. H., Bouwman, A. F., & De Vries, W.;From planetary to regional boundaries for agricultural nitrogen pollution;2022;bottom-up;spatially explicit model;country;china region;agricultural N surplus;deposition of agricultural N in surface water and groundwater, threaten biodiversity and other impacts;"sum of critical manure and fertilizer inputs, critical N deposition 
and (constant) N fixation. (119 MtN yr−1 to 92 MtN yr−1 for water, 101 MtN yr−1 for biodiversity)";;; 57 MtN yr−1;;;93 kgN/ha*yr;;93 kgN/ha*yr;;;https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-022-05158-2/MediaObjects/41586_2022_5158_MOESM1_ESM.pdf;account for the spatial variability. use a spatially explicit model to establish regional boundaries for agricultural nitrogen surplus from thresholds for eutrophication of terrestrial and aquatic ecosystems and nitrate in groundwater;N surplus will depend on precipitation surplus, share on agricultural land, and legacy N load, critical N surpluses
Schulte-Uebbing, L. F., Beusen, A. H., Bouwman, A. F., & De Vries, W.;From planetary to regional boundaries for agricultural nitrogen pollution;2022;bottom-up;spatially explicit model;country;southeastern asia;agricultural N surplus;deposition of agricultural N in surface water and groundwater, threaten biodiversity and other impacts;"sum of critical manure and fertilizer inputs, critical N deposition 
and (constant) N fixation. (119 MtN yr−1 to 92 MtN yr−1 for water, 101 MtN yr−1 for biodiversity)";;; 57 MtN yr−1;;;56 kgN/ha*yr;;56 kgN/ha*yr;;;https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-022-05158-2/MediaObjects/41586_2022_5158_MOESM1_ESM.pdf;account for the spatial variability. use a spatially explicit model to establish regional boundaries for agricultural nitrogen surplus from thresholds for eutrophication of terrestrial and aquatic ecosystems and nitrate in groundwater;N surplus will depend on precipitation surplus, share on agricultural land, and legacy N load, critical N surpluses
Schulte-Uebbing, L. F., Beusen, A. H., Bouwman, A. F., & De Vries, W.;From planetary to regional boundaries for agricultural nitrogen pollution;2022;bottom-up;spatially explicit model;country;indonesia region;agricultural N surplus;deposition of agricultural N in surface water and groundwater, threaten biodiversity and other impacts;"sum of critical manure and fertilizer inputs, critical N deposition 
and (constant) N fixation. (119 MtN yr−1 to 92 MtN yr−1 for water, 101 MtN yr−1 for biodiversity)";;; 57 MtN yr−1;;;49 kgN/ha*yr;;49 kgN/ha*yr;;;https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-022-05158-2/MediaObjects/41586_2022_5158_MOESM1_ESM.pdf;account for the spatial variability. use a spatially explicit model to establish regional boundaries for agricultural nitrogen surplus from thresholds for eutrophication of terrestrial and aquatic ecosystems and nitrate in groundwater;N surplus will depend on precipitation surplus, share on agricultural land, and legacy N load, critical N surpluses
Schulte-Uebbing, L. F., Beusen, A. H., Bouwman, A. F., & De Vries, W.;From planetary to regional boundaries for agricultural nitrogen pollution;2022;bottom-up;spatially explicit model;country;japan;agricultural N surplus;deposition of agricultural N in surface water and groundwater, threaten biodiversity and other impacts;"sum of critical manure and fertilizer inputs, critical N deposition 
and (constant) N fixation. (119 MtN yr−1 to 92 MtN yr−1 for water, 101 MtN yr−1 for biodiversity)";;; 57 MtN yr−1;;;157 kgN/ha*yr;;157 kgN/ha*yr;;;https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-022-05158-2/MediaObjects/41586_2022_5158_MOESM1_ESM.pdf;account for the spatial variability. use a spatially explicit model to establish regional boundaries for agricultural nitrogen surplus from thresholds for eutrophication of terrestrial and aquatic ecosystems and nitrate in groundwater;N surplus will depend on precipitation surplus, share on agricultural land, and legacy N load, critical N surpluses
Schulte-Uebbing, L. F., Beusen, A. H., Bouwman, A. F., & De Vries, W.;From planetary to regional boundaries for agricultural nitrogen pollution;2022;bottom-up;spatially explicit model;country;oceania;agricultural N surplus;deposition of agricultural N in surface water and groundwater, threaten biodiversity and other impacts;"sum of critical manure and fertilizer inputs, critical N deposition 
and (constant) N fixation. (119 MtN yr−1 to 92 MtN yr−1 for water, 101 MtN yr−1 for biodiversity)";;; 57 MtN yr−1;;;20 kgN/ha*yr;;20 kgN/ha*yr;;;https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-022-05158-2/MediaObjects/41586_2022_5158_MOESM1_ESM.pdf;account for the spatial variability. use a spatially explicit model to establish regional boundaries for agricultural nitrogen surplus from thresholds for eutrophication of terrestrial and aquatic ecosystems and nitrate in groundwater;N surplus will depend on precipitation surplus, share on agricultural land, and legacy N load, critical N surpluses
Schulte-Uebbing, L. F., Beusen, A. H., Bouwman, A. F., & De Vries, W.;From planetary to regional boundaries for agricultural nitrogen pollution;2022;bottom-up;spatially explicit model;country;rest of south asia;agricultural N surplus;deposition of agricultural N in surface water and groundwater, threaten biodiversity and other impacts;"sum of critical manure and fertilizer inputs, critical N deposition 
and (constant) N fixation. (119 MtN yr−1 to 92 MtN yr−1 for water, 101 MtN yr−1 for biodiversity)";;; 57 MtN yr−1;;;186 kgN/ha*yr;;186 kgN/ha*yr;;;https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-022-05158-2/MediaObjects/41586_2022_5158_MOESM1_ESM.pdf;account for the spatial variability. use a spatially explicit model to establish regional boundaries for agricultural nitrogen surplus from thresholds for eutrophication of terrestrial and aquatic ecosystems and nitrate in groundwater;N surplus will depend on precipitation surplus, share on agricultural land, and legacy N load, critical N surpluses
Schulte-Uebbing, L. F., Beusen, A. H., Bouwman, A. F., & De Vries, W.;From planetary to regional boundaries for agricultural nitrogen pollution;2022;bottom-up;spatially explicit model;country;rest of shouthern africa;agricultural N surplus;deposition of agricultural N in surface water and groundwater, threaten biodiversity and other impacts;"sum of critical manure and fertilizer inputs, critical N deposition 
and (constant) N fixation. (119 MtN yr−1 to 92 MtN yr−1 for water, 101 MtN yr−1 for biodiversity)";;; 57 MtN yr−1;;;12 kgN/ha*yr;;12 kgN/ha*yr;;;https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-022-05158-2/MediaObjects/41586_2022_5158_MOESM1_ESM.pdf;account for the spatial variability. use a spatially explicit model to establish regional boundaries for agricultural nitrogen surplus from thresholds for eutrophication of terrestrial and aquatic ecosystems and nitrate in groundwater;N surplus will depend on precipitation surplus, share on agricultural land, and legacy N load, critical N surpluses
Schulte-Uebbing, L. F., Beusen, A. H., Bouwman, A. F., & De Vries, W.;From planetary to regional boundaries for agricultural nitrogen pollution;2022;bottom-up;spatially explicit model;country;world;agricultural N surplus;deposition of agricultural N in surface water and groundwater, threaten biodiversity and other impacts;"sum of critical manure and fertilizer inputs, critical N deposition 
and (constant) N fixation. (119 MtN yr−1 to 92 MtN yr−1 for water, 101 MtN yr−1 for biodiversity)";;; 57 MtN yr−1;;;51 kgN/ha*yr;;51 kgN/ha*yr;;;https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-022-05158-2/MediaObjects/41586_2022_5158_MOESM1_ESM.pdf;account for the spatial variability. use a spatially explicit model to establish regional boundaries for agricultural nitrogen surplus from thresholds for eutrophication of terrestrial and aquatic ecosystems and nitrate in groundwater;N surplus will depend on precipitation surplus, share on agricultural land, and legacy N load, critical N surpluses
"Su Y.; Dong X.; Li Y.; Hong Q.; Flower R.";Optimizing safe and just operating spaces at sub-watershed scales to guide local environmental management;2023;;Industry standard/Expert judgment;local;Nanfei River Paihe River Basin, china;Nitrogen cycle;mean value of particle N loads in Chaohu watershed;Total N load (kgN/km2);;;;;;3.58 kgN/km2;;;;;;;Local data exists
"Su Y.; Dong X.; Li Y.; Hong Q.; Flower R.";Optimizing safe and just operating spaces at sub-watershed scales to guide local environmental management;2023;;Industry standard/Expert judgment;local;Huangbu River Baishitian River Basin, china;Nitrogen cycle;mean value of particle N loads in Chaohu watershed;Total N load (kgN/km2);;;;;;3.58 kgN/km2;;;;;;;Local data exists
"Su Y.; Dong X.; Li Y.; Hong Q.; Flower R.";Optimizing safe and just operating spaces at sub-watershed scales to guide local environmental management;2023;;Industry standard/Expert judgment;local;Tongyang River- Zhegao River Basin, china;Nitrogen cycle;mean value of particle N loads in Chaohu watershed;Total N load (kgN/km2);;;;;;3.58 kgN/km2;;;;;;;Local data exists
"Su Y.; Dong X.; Li Y.; Hong Q.; Flower R.";Optimizing safe and just operating spaces at sub-watershed scales to guide local environmental management;2023;;Industry standard/Expert judgment;local;Yuxi River Basin, china;Nitrogen cycle;mean value of particle N loads in Chaohu watershed;Total N load (kgN/km2);;;;;;3.58 kgN/km2;;;;;;;Local data exists
"Huang L.H.; Hu A.H.; Kuo C.-H.";Planetary boundary downscaling for absolute environmental sustainability assessment â€” Case study of Taiwan;2020;;Downscaling by actual framing of land area;country;taiwan;Nfer: N fertilizer use ;;Nfer: N fertilizer used (GgN/year);;;N fixation: 62–82 TgN/yr of industrial and intentional biological fixation of N;;;22.2 GgN/year;;;;;;;
Nykvist, B., Persson, Ã…., Moberg, F., Persson, L., Cornell, S. E., & RockstrÃ¶m, J.;National environmental performance on planetary boundaries;2013;top down;equal share per capita;country;sweden;Nitrogen cycle;maximum removal of N2 from the atmosphere but linked only to the industrial production of fertiliser;;;;35 Mt per year;;5 kgN/cap;45,000 tN ;;;;;;;
Nykvist, B., Persson, Ã…., Moberg, F., Persson, L., Cornell, S. E., & RockstrÃ¶m, J.;National environmental performance on planetary boundaries;2013;;country-dependent (relative to national resource base);country;sweden;Nitrogen cycle;;;;;;;;;;;;;;;
Rockstrom, J., Steffen, W., Noone, K., Persson, A., Chapin, F. S., Lambin, E. F., et al.;A safe operating space for humanity;2009;;;;;Amount of N2 removed from atmosphere for human use (MtN year-1).;;;;;35 MtN year-1 (25–35%).;;;;;;;;;;
Rockstrom, J., Steffen, W., Noone, K., Persson, A., Chapin, F. S., Lambin, E., et al.; Planetary boundaries: Exploring the safe operating space for humanity.;2009;;;global;world;Amount of N2 removed from atmosphere for human use (MtN year-1).;"slow variable affecting
overall resilience of
ecosystems via acidification
of terrestrial ecosystems and
eutrophication of coastal and
freshwater systems.";"Limit industrial
and agricultural
fixation of N2 to 35
Mt N yr-1, which is ~
25% of the total
amount of N2 fixed
per annum naturally
by terrestrial
ecosystems
(25%–35%)";;;35 MtN year-1 (25–35%).;;;;;;;;;;
W. Steffen, W. Broadgate, L. Deutsch, O. Gaffney, C. Ludwig;The trajectory of the anthropocene: the great acceleration;2015;;;;;global: Industrial and intentional biological fixation of N.;;;;;44 MtN year-1 (44 – 62 MtN).;;;;;;;;;;
Steffen, W., Richardson, K., Rockstrom, J., Cornell, S. E., Fetzer, I., Bennett, E. M., et al.;Planetary boundaries: Guiding human development on a changing planet.;2015;;;;;global: Industrial and intentional biological fixation of N.;;;;;44 MtN year-1 (44 – 62 MtN).;;;;;;;;;;
"Fanning A.L.; O'Neill D.W.";Tracking resource use relative to planetary boundaries in a steady-state framework: A case study of Canada and Spain;2016;bottom-up;Equal N per hectare of arable land;country;canada;N flow from fertilizers to arable land;;;;;∼45 kgN per ha per year;2009;;1970 ktN/yr;;1915 ktN/yr;;Territorial;;;
"Fanning A.L.; O'Neill D.W.";Tracking resource use relative to planetary boundaries in a steady-state framework: A case study of Canada and Spain;2016;bottom-up;Equal N per hectare of arable land;province;nova scotia;N flow from fertilizers to arable land;;;;;∼45 kgN per ha per year;2009;;6.48 ktN/yr;;7.34 ktN/yr;;Territorial;;;
"Fanning A.L.; O'Neill D.W.";Tracking resource use relative to planetary boundaries in a steady-state framework: A case study of Canada and Spain;2016;bottom-up;Equal N per hectare of arable land;country;spain;N flow from fertilizers to arable land;;;;;∼45 kgN per ha per year;2009;;562 ktN/yr;;781 ktN/yr;;Territorial;;;
"Fanning A.L.; O'Neill D.W.";Tracking resource use relative to planetary boundaries in a steady-state framework: A case study of Canada and Spain;2016;bottom-up;Equal N per hectare of arable land;region;andalucia;N flow from fertilizers to arable land;;;;;∼45 kgN per ha per year;2009;;101 ktN/yr;;201 ktN/yr;;Territorial;;;
"Cole M.J.; Bailey R.M.; New M.G.";Spatial variability in sustainable development trajectories in South Africa: provincial level safe and just operating spaces;2017;bottom-up;local biophysical threshold based on established research and expert judgment;country;south africa;Nitrogen application rate;Total maize production and estimated fertiliser use by province in 1990/91 and 2012/13 ;;;;;;;144 kgN/ha;;;;Not affected by scale;Brentrup and Palliere (2010);;
"Cole M.J.; Bailey R.M.; New M.G.";Spatial variability in sustainable development trajectories in South Africa: provincial level safe and just operating spaces;2017;bottom-up;local biophysical threshold based on established research and expert judgment;province;eastern cape;Nitrogen application rate;Total maize production and estimated fertiliser use by province in 1990/91 and 2012/13 ;;;;;;;144 kgN/ha;;;;Not affected by scale;;;
"Cole M.J.; Bailey R.M.; New M.G.";Spatial variability in sustainable development trajectories in South Africa: provincial level safe and just operating spaces;2017;bottom-up;local biophysical threshold based on established research and expert judgment;province;free state;Nitrogen application rate;Total maize production and estimated fertiliser use by province in 1990/91 and 2012/13 ;;;;;;;144 kgN/ha;;;;Not affected by scale;;;
"Cole M.J.; Bailey R.M.; New M.G.";Spatial variability in sustainable development trajectories in South Africa: provincial level safe and just operating spaces;2017;bottom-up;local biophysical threshold based on established research and expert judgment;province;Gauteng;Nitrogen application rate;Total maize production and estimated fertiliser use by province in 1990/91 and 2012/13 ;;;;;;;144 kgN/ha;;;;Not affected by scale;;;
"Cole M.J.; Bailey R.M.; New M.G.";Spatial variability in sustainable development trajectories in South Africa: provincial level safe and just operating spaces;2017;bottom-up;local biophysical threshold based on established research and expert judgment;province;KwaZulu-Natal;Nitrogen application rate;Total maize production and estimated fertiliser use by province in 1990/91 and 2012/13 ;;;;;;;144 kgN/ha;;;;Not affected by scale;;;
"Cole M.J.; Bailey R.M.; New M.G.";Spatial variability in sustainable development trajectories in South Africa: provincial level safe and just operating spaces;2017;bottom-up;local biophysical threshold based on established research and expert judgment;province;Limpopo;Nitrogen application rate;Total maize production and estimated fertiliser use by province in 1990/91 and 2012/13 ;;;;;;;144 kgN/ha;;;;Not affected by scale;;;
"Cole M.J.; Bailey R.M.; New M.G.";Spatial variability in sustainable development trajectories in South Africa: provincial level safe and just operating spaces;2017;bottom-up;local biophysical threshold based on established research and expert judgment;province;Mpumalanga;Nitrogen application rate;Total maize production and estimated fertiliser use by province in 1990/91 and 2012/13 ;;;;;;;144 kgN/ha;;;;Not affected by scale;;;
"Cole M.J.; Bailey R.M.; New M.G.";Spatial variability in sustainable development trajectories in South Africa: provincial level safe and just operating spaces;2017;bottom-up;local biophysical threshold based on established research and expert judgment;province;Northern Cape;Nitrogen application rate;Total maize production and estimated fertiliser use by province in 1990/91 and 2012/13 ;;;;;;;144 kgN/ha;;;;Not affected by scale;;;
"Cole M.J.; Bailey R.M.; New M.G.";Spatial variability in sustainable development trajectories in South Africa: provincial level safe and just operating spaces;2017;bottom-up;local biophysical threshold based on established research and expert judgment;province;North West;Nitrogen application rate;Total maize production and estimated fertiliser use by province in 1990/91 and 2012/13 ;;;;;;;144 kgN/ha;;;;Not affected by scale;;;
"Cole M.J.; Bailey R.M.; New M.G.";Spatial variability in sustainable development trajectories in South Africa: provincial level safe and just operating spaces;2017;bottom-up;local biophysical threshold based on established research and expert judgment;province;Western Cape;Nitrogen application rate;Total maize production and estimated fertiliser use by province in 1990/91 and 2012/13 ;;;;;;;144 kgN/ha;;;;Not affected by scale;;;
"Cole M.J.; Bailey R.M.; New M.G.";"Tracking sustainable development with a national barometer for South Africa using a downscaled ""safe and just space"" framework";2014;bottom-up;Local thresholds;country;south africa;Nitrogen application rate for maize production;;;;;;2012;;144 kgN/ha;85 kgN/ha;;;local;"FSSA 2013; Brentrup and Palliere 2010";;single local biophysical threshold
Fanning, A. L., O’Neill, D. W., Hickel, J., & Roux, N. ;The social shortfall and ecological overshoot of nations.;2022;top down;equal share per capita;country;Afghanistan;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;PB was divided for world population for each year ;;;62 TgN/yr;;8.4 kgN/cap;;;;3.39;;World Development Indicators | DataBank;;
Fanning, A. L., O’Neill, D. W., Hickel, J., & Roux, N. ;The social shortfall and ecological overshoot of nations.;2022;top down;equal share per capita;country;Albania;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;PB was divided for world population for each year ;;;62 TgN/yr;;8.4 kgN/cap;;;;2.11;;;;
Fanning, A. L., O’Neill, D. W., Hickel, J., & Roux, N. ;The social shortfall and ecological overshoot of nations.;2022;top down;equal share per capita;country;Algeria;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;PB was divided for world population for each year ;;;62 TgN/yr;;8.4 kgN/cap;;;;2.99;;;;
Fanning, A. L., O’Neill, D. W., Hickel, J., & Roux, N. ;The social shortfall and ecological overshoot of nations.;2022;top down;equal share per capita;country;Angola;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;PB was divided for world population for each year ;;;62 TgN/yr;;8.4 kgN/cap;;;;0.6;;;;
Fanning, A. L., O’Neill, D. W., Hickel, J., & Roux, N. ;The social shortfall and ecological overshoot of nations.;2022;top down;equal share per capita;country;Argentina;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;PB was divided for world population for each year ;;;62 TgN/yr;;8.4 kgN/cap;;;;8.1;;;;
Fanning, A. L., O’Neill, D. W., Hickel, J., & Roux, N. ;The social shortfall and ecological overshoot of nations.;2022;top down;equal share per capita;country;Armenia;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;PB was divided for world population for each year ;;;62 TgN/yr;;8.4 kgN/cap;;;;0.46;;;;
Fanning, A. L., O’Neill, D. W., Hickel, J., & Roux, N. ;The social shortfall and ecological overshoot of nations.;2022;top down;equal share per capita;country;Australia;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;PB was divided for world population for each year ;;;62 TgN/yr;;8.4 kgN/cap;;;;5.95;;;;
Fanning, A. L., O’Neill, D. W., Hickel, J., & Roux, N. ;The social shortfall and ecological overshoot of nations.;2022;top down;equal share per capita;country;Austria;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;PB was divided for world population for each year ;;;62 TgN/yr;;8.4 kgN/cap;;;;3.54;;;;
